Id,Nome,Descriçao,Quantidade,Localização Casa,Foto,Tem Interesse
483,enfeite barro,enfeite de barro,1,armário corredor,NA,NA
484,pote,potinhos quadrados de metal,6,armário corredor,NA,NA
485,frasco,frasco vidro bico de jaca com tampa,1,armário corredor,NA,NA
486,castiçal,castiçal porcelana verde água,1,armário corredor,NA,NA
487,escorredor,escorredor de prata,1,armário corredor,NA,NA
488,porta guardanapo,porta guardanapo cisnei prata,1,armário corredor,NA,NA
489,vaso,vaso pequeno de barro,1,armário corredor,NA,NA
490,efeite,flores de enfeite,1,armário corredor,NA,NA
491,efeite,uvas de enfeite,1,armário corredor,NA,NA
492,prato,prato redondo o com pé bailarinha,1,armário corredor,NA,NA
493,pote,pote de vidro oval,1,armário corredor,NA,NA
494,concha,conchinhas de prata,6,armário corredor,NA,NA
495,colheres,colheres de madeira,6,armário corredor,NA,NA
496,descanso de mesa,descanso de mesa prateado,5,armário corredor,NA,NA
497,enfeite,flores de enfeite,1,armário corredor,NA,NA
498,jarra,jarra de prata,1,armário corredor,NA,NA
499,prato,prato redondo com pé bailarina,1,armário corredor,NA,NA
500,jarra,jarra de prata,1,armário corredor,NA,NA
501,pote,pode redondo com tampa,1,armário corredor,NA,NA
502,bule,bule prata,1,armário corredor,NA,NA
503,prato,prato redondo porcelana,1,armário corredor,NA,NA
504,conjunto chá,conjunto chá prata,5,armário corredor,NA,NA
505,pote,pote estreito vidro verde,1,armário corredor,NA,NA
506,copo,copo vidro alto kaiser,6,armário corredor,NA,NA
507,bule,bule prata,1,armário corredor,NA,NA
508,moringa,moringa de barro com copo e pires,1,armário corredor,NA,NA
509,prato,pratos pequenos,2,armário corredor,NA,NA
510,bandeja,bandeira rendonda madeira,1,armário corredor,NA,NA
511,prato,prato rendondo com pé bailarina,1,armário corredor,NA,NA
512,prato,prato rendondo,1,armário corredor,NA,NA
513,prato,prato rendondo,1,armário corredor,NA,NA
514,prato,pratos pequenos quadrado,2,armário corredor,NA,NA
515,prato,prato pequeno camarão,1,armário corredor,NA,NA
516,jogo porcelana,jogo porcelana 6 xícaras,1,armário corredor,NA,NA
517,jogo porcelana,jogo porcelana 3 xícaras,1,armário corredor,NA,NA
518,jogo porcelana,jogo porcelana 5 xícaras,1,armário corredor,NA,NA
519,jogo porcelana,jogo porcelana 6 xícaras,1,armário corredor,NA,NA
520,jogo porcelana,jogo porcelana 4 xícaras,1,armário corredor,NA,NA
521,prato,prato redondo,1,armário corredor,NA,NA
522,pote,pote porcelana branca redondo com tampa,1,armário corredor,NA,NA
523,travessa,travessas porcelanas com flores,2,armário corredor,NA,NA
524,açucareiro,açucareiro prata e vidro com colher,1,armário corredor,NA,NA
525,guizo,5 guizos de natal,5,armário corredor,NA,NA
526,leiteira,leiteira pequena porcela branca,1,armário corredor,NA,NA
527,porta xícara,porta xícara ferro,1,armário corredor,NA,NA
528,pote,pote estreito vidro amarelo,1,armário corredor,NA,NA
529,pote,potinhos redondos vidro,5,armário corredor,NA,NA
530,xícara,xícara porcelana,1,armário corredor,NA,NA
531,porta talheres,12 porta talheres,12,armário corredor,NA,NA
532,tacinha,tacinha de prata,1,armário corredor,NA,NA
533,paliteiro,paliteiro prata,1,armário corredor,NA,NA
534,pote,pote vidro com suporte e colher,1,armário corredor,NA,NA
535,porta guardanapo,porta guardanapo prata,2,armário corredor,NA,NA
536,jogo porcelana,jogo porcelana 2 xícaras,2,armário corredor,NA,NA
537,porta mel,porta mel de acrílico,1,armário corredor,NA,NA
538,taça,taça cristal conjunto são luis,6,armário corredor,NA,NA
539,copo,copo wiskey,10,armário corredor,NA,NA
540,pote,pote redondo vidro,1,armário corredor,NA,NA
541,pote,pote porcelana fruta,1,armário corredor,NA,NA
542,pote,pote porcelana verde,1,armário corredor,NA,NA
543,prato,prato rendondo vidro,1,armário corredor,NA,NA
544,prato,prato redondo anthurium,1,armário corredor,NA,NA
545,caneca,caneca frade,1,armário corredor,NA,NA
546,porta guardanapo,4 porta guardanapo metal,4,armário corredor,NA,NA
547,pote,4 potes redondos médio com tampa,4,armário corredor,NA,NA
548,pirex,pirex retangular vidro com tampa,1,armário corredor,NA,NA
549,prato,prato porcelana borda dourada,7,armário corredor,NA,NA
550,vasilha,vasilha porcelana ondula,3,armário corredor,NA,NA
551,pote,3 potes redondos médio,3,armário corredor,NA,NA
552,pote,pote cristal com tampa,1,armário corredor,NA,NA
553,vasilha,vasilha rendoda vidro,1,armário corredor,NA,NA
554,vasilha,vasilha redonda,1,armário corredor,NA,NA
555,prato,prato sobremesa porcelana borda dourada,2,armário corredor,NA,NA
556,guardanapos papel,guardanapos papel,4,armário corredor,NA,NA
557,pirex,pirex retangular porcelana com tampa vidro,1,armário corredor,NA,NA
558,copo,copo bico de jaca alto,3,armário corredor,NA,NA
559,bule,bule porcelana branca,1,armário corredor,NA,NA
560,pote,pote com tampa,1,armário corredor,NA,NA
561,bule,bule do conjunto azul,1,armário corredor,NA,NA
562,pote,pote metal com desenhos florais,1,armário corredor,NA,NA
563,prato,prato redondo,1,armário corredor,NA,NA
564,bandeja,bandeja redonda prata,1,armário corredor,NA,NA
565,prato,prato vidro grande,1,armário corredor,NA,NA
566,bandeja,bandeja acrílico,1,armário corredor,NA,NA
567,cestinha,cestinhas de palha 2,2,armário corredor,NA,NA
568,prato,prato oitavado porcelana,6,armário corredor,NA,NA
569,pirex,pirex retangular vidro,2,armário corredor,NA,NA
570,cestinha,cestinha,2,armário corredor,NA,NA
571,tampa de bolo,tampa de bolo acrilico,1,armário corredor,NA,NA
572,cinzeiro,cinzeiro porcelana,1,armário corredor,NA,NA
573,pirex,pirex porcelana retangular grande,1,armário corredor,NA,NA
574,vasilha,vasilha redonda vidro,1,armário corredor,NA,NA
575,vasilha,vasilha redonda vidro flores,1,armário corredor,NA,NA
576,bandeja,bandeja flores fundo preto,1,armário corredor,NA,NA
577,pote,pote detalhes flores,1,armário corredor,NA,NA
578,pote,pode madeira com colher e tampa,1,armário corredor,NA,NA
579,castiçal,castiçal prata,1,armário corredor,NA,NA
580,conjunto bule,conjunto bule prata,7,armário corredor,NA,NA
581,vasilha,vasilha redonda,1,armário corredor,NA,NA
582,cesta,cesta palha,1,armário corredor,NA,NA
583,suqueira,suqueira grande vidro com tampa,1,armário corredor,NA,NA
584,pote,pote alto bico de jaca,1,armário corredor,NA,NA
585,pote,pote vidro redondo,1,armário corredor,NA,NA
586,pote,pote vidro redondo,1,armário corredor,NA,NA
587,descanso de mesa,descanso de mesa prata 6,6,armário corredor,NA,NA
588,bandeja,bandeja 2 andares vermelha,1,armário corredor,NA,NA
589,bule,bule prata,1,armário corredor,NA,NA
590,pote,pote vidro,1,armário corredor,NA,NA
591,jarro,jarra prata,1,armário corredor,NA,NA
592,jarra,jarra vidro,1,armário corredor,NA,NA
593,jarro,jarro vidro,1,armário corredor,NA,NA
594,jarra,jarra bico de jaca com tampa,1,armário corredor,NA,NA
595,garrafa,garrafa de vidro escura,1,armário corredor,NA,NA
596,taça,taça borda dourada,4,armário corredor,NA,NA
597,pote,pote metal,2,armário corredor,NA,NA
598,geleira,geleira isopor com tampa,1,armário corredor,NA,NA
599,pote,pote porcelana,1,armário corredor,NA,NA
600,guardanapos papel,"guardanapos papel, prato papel e forminhas",1,armário corredor,NA,NA
601,suporte,suporte metal,1,armário corredor,NA,NA
602,jogo porcelana,jogo porcelana amarelo travessas,1,armário corredor,NA,NA
603,jogo porcelana,"jogo porcelana amarelo 24 pratos grandes, 11 pratos sobremesa",1,armário corredor,NA,NA
604,jogo porcelana,jogo porcelana amarelo 3 sopeiras sendo 2 com tampa,1,armário corredor,NA,NA
605,jogo porcelana,jogo porcelana branco com detalhe prateado prato sobremesa 6,1,armário corredor,NA,NA
606,jogo porcelana,jogo porcelana branco com detalhe prateado prato sobremesa 11,1,armário corredor,NA,NA
607,jogo porcelana,jogo porcelana branco com detalhe flores prateado xícara café e pires 12,1,armário corredor,NA,NA
608,jogo porcelana,jogo porcelana branco com detalhe flores prateado xícara chá e pires 8,1,armário corredor,NA,NA
609,pote,pote com tampa,1,armário corredor,NA,NA
610,copo,copo bico de jaca vidro,16,armário corredor,NA,NA
611,ventilador,ventilador 40cm arno,1,quarto vovo,NA,NA
612,xícara,xícara pêssego porcelana,1,quarto vovo,NA,NA
613,estatutas,esculturas pedra sabão,2,quarto vovo,NA,NA
614,gravuras,gravuras em nanquim,3,quarto vovo,NA,NA
615,ferro de passar roupa,ferro de passar roupa,1,quarto vovo,NA,NA
616,xícara,xícara de cobre indiana,1,quarto vovo,NA,NA
617,planta da casa,planta da casa branca,1,quarto vovo,NA,NA
618,planta da casa,planta da casa vermelha (piscina),1,quarto vovo,NA,NA
619,planta da casa,planta da casa azul (fachada principal),1,quarto vovo,NA,NA
620,planta da casa,planta da casa branca (jardim de inverno com a sala),1,quarto vovo,NA,NA
621,foto,foto do vovo formatura,1,quarto vovo,NA,NA
622,foto,foto pai da vovo (eustaquio),1,quarto vovo,NA,NA
623,caixa de música,caixa de música com pássaros,1,quarto vovo,NA,NA
624,tapete,apara de tapete tabacow 1m,1,quarto vovo,NA,NA
625,anel,anel formatura vovo esmeralda,1,quarto vovo,NA,NA
626,chapeu,chapeu verde,1,quarto vovo,NA,NA
627,geleira,geleira de prata com tampa,1,quarto vovo,NA,NA
628,aquecedor,aquecedor ventisol portatil,1,quarto vovo,NA,NA
629,pote,pote esmaltado branco com tampa,1,quarto vovo,NA,NA
630,boneca,beneca,1,quarto vovo,NA,NA
631,copo,6 copos de vidro pintados,6,quarto vovo,NA,NA
632,caixa de costura,caixa de costura,1,quarto vovo,NA,NA
633,caixinha,caixa de madeira com desenohs na tampa,1,quarto vovo,NA,NA
634,caixinha,caixinha de madeira com tampa de metal,1,quarto vovo,NA,NA
635,fotos,caixa com fotos antigas,1,quarto vovo,NA,NA
636,boleira,boleira de porcelana,1,quarto vovo,NA,NA
637,retrato,retrato vo lau,1,quarto vovo,NA,NA
638,xícara,2 xícaras porcelanas,2,quarto vovo,NA,NA
639,conjunto cerâmica,2 conjuntos consumê sônia toledo,2,quarto vovo,NA,NA
640,vinho tinto,vinho tinto com 2 taças de cristal,1,quarto vovo,NA,NA
641,azeite,azeite pintas na caixa,1,quarto vovo,NA,NA
642,cachaças,5 garrafas de cachaça,5,quarto vovo,NA,NA
643,vinho porto,3 garrafas vinho porto,3,quarto vovo,NA,NA
644,bebidas,bebidas variadas 6 garrafas,6,quarto vovo,NA,NA
645,vinhos tintos,13 garrafas de vinho tinto,13,quarto vovo,NA,NA
646,mesa quadrada,4 mesas de inox dobraveis,4,quarto vovo,NA,NA
647,cadeira,19 cadeiras de inox dobraveis,19,quarto vovo,NA,NA
648,pé de pato,1 par de pé de pato,1,quarto vovo,NA,NA
649,almofada de banho,2 almofadas de banho,2,quarto vovo,NA,NA
650,livros,livros diversos vovo iole,1,quarto vovo,NA,NA
651,caixinha,caixinha com tampa bordada,1,quarto vovo,NA,NA
652,caran d'ache,caran d'ache,1,quarto vovo,NA,NA
653,caneleira ginastica,1 par de caneleira de ginastica,1,quarto vovo,NA,NA
654,cabideiro,cabideiro de madeira,1,quarto vovo,NA,NA
655,cobertores de lã,4 cobertores de lã,4,quarto vovo,NA,NA
656,antiderrapante,2 antiderrapantes,2,quarto vovo,NA,NA
657,almofada antirrefluxo,almofada antirrefluxo,1,quarto vovo,NA,NA
658,travesseiros,6 travesseiros,6,quarto vovo,NA,NA
659,almofadas cabeça,4 almofadas de cabeça,4,quarto vovo,NA,NA
660,balança,balança de banheiro,1,quarto vovo,NA,NA
661,cobertores de lã,2 cobertores de lã,2,quarto vovo,NA,NA
662,raquete antiga,raquete antiga,1,quarto vovo,NA,NA
663,chapeleira com diversos chapeus,chapeleira com diversos chapeus,1,quarto vovo,NA,NA
664,diversos panos de prato,diversos panos de prato,1,quarto vovo,NA,NA
665,andador,andador de aluminio,1,quarto vovo,NA,NA
666,cesta,cesta papai noel,1,quarto vovo,NA,NA
667,bandejas,2 bandejas de mandeira,2,quarto vovo,NA,NA
668,cestas,4 cestas de palha,4,quarto vovo,NA,NA
669,flores enfeite,flores de enfeite diversas,1,quarto vovo,NA,NA
670,aquário,aquário redondo de vidro,1,quarto vovo,NA,NA
671,pote porcelana,pote porcelana,1,quarto vovo,NA,NA
672,pote cerâmica,pote cerâmica,1,quarto vovo,NA,NA
673,espelho,espelho retangular,4,quarto vovo,NA,NA
674,aparelho founde,aparelho founde carne,1,quarto vovo,NA,NA
675,pote barro,pote barro,1,quarto vovo,NA,NA
676,jarro porcelana,jarro porcelana,1,quarto vovo,NA,NA
677,cesto de palha,cesto de palha,1,quarto vovo,NA,NA
678,jarro metal,jarro de metal,1,quarto vovo,NA,NA
679,almofada bandeja,almofada bandeja,1,quarto vovo,NA,NA
680,bandeja bambu,bandeja bambu,1,quarto vovo,NA,NA
681,bandeja inox,bandeja inox redonda,1,quarto vovo,NA,NA
682,bandeja,bandeja emborrachada,1,quarto vovo,NA,NA
683,bandeja para cama,bandeja madeira para cama,1,quarto vovo,NA,NA
684,bolsas térmicas,2 bolsas térmicas,2,quarto vovo,NA,NA
685,almofadas bordadas crochê,3 almofadas bordadas crochê,3,quarto vovo,NA,NA
686,rede,rede vermelha,1,quarto vovo,NA,NA
687,colcha croche,colcha casal croche,1,quarto vovo,NA,NA
688,pano croche,pano croche,1,quarto vovo,NA,NA
689,jogo cama casal,5 jogos de cama casal,5,corredor,NA,NA
690,jogo toalha casal,4 jogos tolha casal,4,corredor,NA,NA
691,jogo toalha casal,2 jogos tolha casa,2,corredor,NA,NA
692,jogo cama solteiro,5 jogos de cama solteiro,5,corredor,NA,NA
693,jogo cama solteiro,2 jogos de cama solteiro,3,corredor,NA,NA
694,diversas toalhas solteiro,diversas toalhas solteiro,1,corredor,NA,NA
695,tolhas de mesa jantar,6 toalhas de mesa jantar,6,corredor,NA,NA
696,colchas,2 colchas brancas solteiro,2,corredor,NA,NA
697,colchas,2 colchas coloridas solteiro,2,corredor,NA,NA
698,tolhas mesa redonda,6 toalhas de mesa rendonda,6,corredor,NA,NA
699,tolhas banheiro social,4 toalhas banheiro social,4,corredor,NA,NA
700,cobertores,2 cobertores solteiro,2,corredor,NA,NA
701,toalhas mesa,2 toalhas mesa,2,corredor,NA,NA
702,extensão,1 extensão,1,corredor,NA,NA
703,espanador de pó,espanador de pó,1,corredor,NA,NA
704,cabideiro parede,cabideiro de madeira parede,1,corredor,NA,NA
705,enseradeira,enseradeira,1,corredor,NA,NA
706,aspirador eletrolux cinza,aspirador eletrolux cinza,1,corredor,NA,NA
707,aspirador eletrolux preto,aspirador eletroluz preto,1,corredor,NA,NA
708,caixa engrachate,caixa madeira engrachate,1,corredor,NA,NA
709,vassouras,diversas vassouras e pazinhas,1,corredor,NA,NA
710,travesseiros,10 travesseiros,10,quarto vovo odete,NA,NA
711,cobertores e mantas,11 cobertores e mantas,11,quarto vovo odete,NA,NA
712,máquina fotográfica,máquina fotográfica telka 3,1,quarto vovo odete,NA,NA
713,máquina fotográfica,máquina fotográfica yashica,1,quarto vovo odete,NA,NA
714,bíblia e suporte,bíblia sagrada com suporte,1,quarto vovo odete,NA,NA
715,tapete,tapete crochê,1,quarto vovo odete,NA,NA
716,colcha cama,colcha cama casal,1,quarto vovo odete,NA,NA
717,toalha mesa jantar,toalha crochê mesa jantar com guardanapos,1,quarto vovo odete,NA,NA
718,toalha mesa jantar,toalha vermelha mesa jantar com guardanapos,1,quarto vovo odete,NA,NA
719,toalha mesa jantar,toalha linho flores mesa jantar com guardanapos,1,quarto vovo odete,NA,NA
720,toalha mesa jantar,toalha portuguesa mesa jantar com guardanapos,1,quarto vovo odete,NA,NA
721,toalha mesa jantar,toalha borda crochê mesa jantar com guardanapos,1,quarto vovo odete,NA,NA
722,toalha mesa jantar,toalha linha mesa jantar,1,quarto vovo odete,NA,NA
723,toalha mesa jantar,toalha detalhes crochê mesa jantar,1,quarto vovo odete,NA,NA
724,toalha mesa jantar,toalha bordada mesa jantar,1,quarto vovo odete,NA,NA
